Dataset Name,Text File 1,Dataset Name 2,Text File 2,Similarity Score
batch3,11-1-164b_line_9874_1,batch2,6-1-7a_line_9874_4,0.2848101265822785
batch3,11-1-164b_line_9874_1,batch2,6-1-6b_line_9874_6,0.2129032258064516
batch3,11-1-164b_line_9874_1,batch2,6-1-7a_line_9874_3,0.2
batch3,11-1-164b_line_9874_1,batch3,11-1-164b_line_9874_4,0.39473684210526316
batch3,11-1-164b_line_9874_1,batch3,11-1-164a_line_9874_5,0.2631578947368421
batch3,11-1-164b_line_9874_1,batch3,11-1-164b_line_9874_2,0.32894736842105265
batch3,11-1-164b_line_9874_1,batch3,11-1-164b_line_9874_5,0.34210526315789475
batch3,11-1-164b_line_9874_1,batch3,11-1-164a_line_9874_6,0.23684210526315788
batch3,11-1-164b_line_9874_1,batch3,11-1-164b_line_9874_6,0.2565789473684211
batch3,11-1-164b_line_9874_1,batch3,11-1-165a_line_9874_0,0.23684210526315788
batch3,11-1-164b_line_9874_1,batch3,11-1-164b_line_9874_0,0.4407894736842105
batch3,11-1-164b_line_9874_1,batch3,11-1-164b_line_9874_3,0.26973684210526316
